timestamp,tweet_id,name,dog_rate,dog_stage,dog_breed,retweet_count,favorite_count,jpg_url,dog_conf
2017-08-01 16:23:56,892420643555336193,Phineas,1.3,,,8853,39467,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,0.0
2017-08-01 00:17:27,892177421306343426,Tilly,1.3,,Chihuahua,6514,33819,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,0.323581
2017-07-31 00:18:03,891815181378084864,Archie,1.2,,Chihuahua,4328,25461,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,0.716012
2017-07-30 15:58:51,891689557279858688,Darla,1.3,,Labrador retriever,8964,42908,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,0.168086
2017-07-29 16:00:24,891327558926688256,Franklin,1.2,,Basset,9774,41048,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,0.555712
2017-07-29 00:08:17,891087950875897856,,1.3,,Chesapeake bay retriever,3261,20562,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,0.425595
2017-07-28 16:27:12,890971913173991426,Jax,1.3,,Appenzeller,2158,12041,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,0.34170300000000003
2017-07-28 00:22:40,890729181411237888,,1.3,,Pomeranian,16716,56848,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,0.566142
2017-07-27 16:25:51,890609185150312448,Zoey,1.3,,Irish terrier,4429,28226,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,0.487574
2017-07-26 15:59:51,890240255349198849,Cassie,1.4,doggo,Pembroke,7711,32467,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,0.511319
2017-07-26 00:31:25,890006608113172480,Koda,1.3,,Samoyed,7624,31166,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,0.957979
2017-07-25 16:11:53,889880896479866881,Bruno,1.3,,French bulldog,5156,28268,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,0.377417
2017-07-25 01:55:32,889665388333682689,,1.3,puppo,Pembroke,8538,38818,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,0.966327
2017-07-25 00:10:02,889638837579907072,Ted,1.2,,French bulldog,4735,27672,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,0.99165
2017-07-24 17:02:04,889531135344209921,Stuart,1.3,puppo,Golden retriever,2321,15359,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,0.953442
2017-07-24 00:19:32,889278841981685760,Oliver,1.3,,Whippet,5637,25652,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,0.626152
2017-07-23 00:22:39,888917238123831296,Jim,1.2,,Golden retriever,4709,29611,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,0.714719
